//联锁表-呼和浩特南站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
60    |LCJL|S13LA,PLA3    |S13     |(33),103-107<105>,113-115,99-101,95-97,27-29                     |33DG,103-115DG,97-99DG,29DG                     |D83,D79,D77,D65,PLA3;
61    |LCJL|S11LA,XLA    |S11     |(31),95-97,99-101,(9),5-7,1-3                     |31DG,95-101DG,9DG,3-5DG,IAG,25DG,19DG,X3JG                     |D81,D63,D61,D5,D1,X;
62    |LCJL|S11LA,XFLA    |S11     |(31),95-97,99-101,(9),5-7,(1-3),5-7                     |31DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,25DG,19DG,S1LQ                     |D81,D63,D61,D5,D3,XF;
63    |LCJL|S11LA,PLA3    |S11     |(31),95-97,(99-101),95-97,27-29                     |31DG,95-101DG,97-99DG,29DG,25DG                     |D81,D65,PLA3;
64    |LCJL|SIXLA,XLA    |SIX     |(61),(23-25),(21),(19),9,5-7,1-3                     |61DG,25/61WG,25DG,21-23DG,19DG,9DG,3-5DG,IAG,31DG,X3JG                     |D99,D91,D15,D5,D1,X;
65    |LCJL|SIXLA,XFLA    |SIX     |(61),23-25,31,95-97,99-101,(9),5-7,(1-3),5-7                     |61DG,25/61WG,25DG,31DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D99,D91,D81,D63,D61,D5,D3,XF;
66    |LCJL|SIXLA,D61A,XLA    |SIX     |(61),23-25,31,95-97,99-101,(9),5-7,1-3                     |61DG,25/61WG,25DG,31DG,9DG,3-5DG,IAG,19DG,X3JG                     |D99,D91,D81,D63,D61,D5,D1,X;
67    |LCJL|SIXLA,PLA3    |SIX     |(61),23-25,31,95-97,(99-101),95-97,27-29                     |61DG,25/61WG,25DG,31DG,95-101DG,97-99DG,29DG                     |D99,D91,D81,D65,PLA3;
68    |LCJL|SVIILA,XLA    |SVII     |61,(23-25),(21),(19),9,5-7,1-3                     |61DG,25/61WG,25DG,21-23DG,19DG,9DG,3-5DG,IAG,31DG,X3JG                     |D99,D91,D15,D5,D1,X;
69    |LCJL|SVIILA,XFLA    |SVII     |61,23-25,31,95-97,99-101,(9),5-7,(1-3),5-7                     |61DG,25/61WG,25DG,31DG,95-101DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D99,D91,D81,D63,D61,D5,D3,XF;
70    |LCJL|SVIILA,D61A,XLA    |SVII     |61,23-25,31,95-97,99-101,(9),5-7,1-3                     |61DG,25/61WG,25DG,31DG,9DG,3-5DG,IAG,19DG,X3JG                     |D99,D91,D81,D63,D61,D5,D1,X;
71    |LCJL|SVIILA,PLA3    |SVII     |61,23-25,31,95-97,(99-101),95-97,27-29                     |61DG,25/61WG,25DG,31DG,95-101DG,97-99DG,29DG                     |D99,D91,D81,D65,PLA3;
72    |LCJL|S5LA,XLA    |S5     |23-25,(21),(19),9,5-7,1-3                     |21-23DG,19DG,9DG,3-5DG,IAG,X3JG                     |D15,D5,D1,X;
73    |LCJL|S5LA,XFLA    |S5     |23-25,(21),(19),9,5-7,(1-3),5-7                     |21-23DG,19DG,9DG,3-5DG,1-7DG,IIAG,S1LQ                     |D15,D5,D3,XF;
74    |LCJL|S3LA,XLA    |S3     |21,(19),9,5-7,1-3                     |21-23DG,19DG,9DG,3-5DG,IAG,X3JG                     |D15,D5,D1,X;
75    |LCJL|S3LA,XFLA    |S3     |21,(19),9,5-7,(1-3),5-7                     |21-23DG,19DG,9DG,3-5DG,1-7DG,IIAG,S1LQ                     |D15,D5,D3,XF;
76    |LCJL|SILA,XLA    |SI     |19,9,5-7,1-3                     |19DG,9DG,3-5DG,IAG,19DG,X3JG                     |D5,D1,X;
77    |LCJL|SILA,XFLA    |SI     |19,9,5-7,(1-3),5-7                     |19DG,9DG,3-5DG,1-7DG,IIAG,19DG,S1LQ                     |D5,D3,XF;
78    |LCJL|SIILA,XLA    |SII     |49-51,13,1-3,(5-7),1-3                     |49DG,13/49WG,13DG,1-7DG,3-5DG,IAG,X3JG                     |D23,D11,D7,D1,X;
79    |LCJL|SIILA,XFLA    |SII     |49-51,13,1-3,5-7                     |49DG,13/49WG,13DG,1-7DG,IIAG,S1LQ                     |D23,D11,D7,D3,XF;
80    |LCJL|SIVLA,XLA    |SIV     |(49-51),13,1-3,(5-7),1-3                     |51DG,49DG,13/49WG,13DG,1-7DG,3-5DG,IAG,71DG,X3JG                     |D23,D11,D7,D1,X;
